"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\alinb\FitnessAndNutrition\components\DashboardComponent\DashboardComponent.js", "JavaScript", 148, 0, 0, 10, 158
"c:\Users\alinb\FitnessAndNutrition\components\DashboardComponent\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\MicroDashboardComponent\MicroDashboardComponent.js", "JavaScript", 147, 0, 0, 9, 156
"c:\Users\alinb\FitnessAndNutrition\components\MicroDashboardComponent\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\package-lock.json", "JSON", 0, 307, 0, 0, 307
"c:\Users\alinb\FitnessAndNutrition\package.json", "JSON", 0, 4, 0, 0, 4
"c:\Users\alinb\FitnessAndNutrition\screens\CalorieScreen\CalorieScreen.js", "JavaScript", 158, 0, 0, 9, 167
"Total", "-", 455, 311, 0, 28, 794
