"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\alinb\FitnessAndNutrition\babel.config.js", "JavaScript", 11, 0, 0, 1, 12
"c:\Users\alinb\FitnessAndNutrition\components\DashboardComponent\DashboardComponent.js", "JavaScript", 3, 0, 1, -1, 3
"c:\Users\alinb\FitnessAndNutrition\components\FoodComponent\FoodComponent.js", "JavaScript", 7, 0, 0, -3, 4
"c:\Users\alinb\FitnessAndNutrition\components\FoodDetailComponent\FoodDetailComponent.js", "JavaScript", 142, 0, 0, 9, 151
"c:\Users\alinb\FitnessAndNutrition\components\FoodDetailComponent\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\NavigationBarComponent.js", "JavaScript", 6, 0, 0, 0, 6
"c:\Users\alinb\FitnessAndNutrition\package-lock.json", "JSON", 0, -12, 0, 0, -12
"c:\Users\alinb\FitnessAndNutrition\package.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\FoodScreen\FoodScreen.js", "JavaScript", 229, 0, 0, 13, 242
"c:\Users\alinb\FitnessAndNutrition\services\apiFoodServices.js", "JavaScript", 63, 0, 2, 6, 71
"Total", "-", 462, -11, 3, 25, 479
