Date : 2024-06-12 23:02:03
Directory : c:\Users\alinb\FitnessAndNutrition
Total : 56 files,  16321 codes, 0 comments, 284 blanks, all 16605 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     14,354 |          0 |          3 |     14,357 |
| JavaScript         |         51 |      1,950 |          0 |        277 |      2,227 |
| TypeScript JSX     |          1 |         11 |          0 |          3 |         14 |
| JSON with Comments |          1 |          6 |          0 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         56 |     16,321 |          0 |        284 |     16,605 |
| . (Files)                                                                                           |          6 |     14,377 |          0 |          8 |     14,385 |
| components                                                                                          |         20 |        534 |          0 |         66 |        600 |
| components\CustomInput                                                                              |          2 |         38 |          0 |          7 |         45 |
| components\DatePickerComponent                                                                      |          2 |         50 |          0 |          7 |         57 |
| components\GenderButton                                                                             |          2 |         44 |          0 |          5 |         49 |
| components\HeightSelectorComponent                                                                  |          2 |         49 |          0 |          6 |         55 |
| components\InformativeComponent                                                                     |          2 |         84 |          0 |          6 |         90 |
| components\KnowledgeComponent                                                                       |          2 |        116 |          0 |          7 |        123 |
| components\NavigationBarComponent                                                                   |          2 |         40 |          0 |          6 |         46 |
| components\RoundImage                                                                               |          2 |         26 |          0 |          4 |         30 |
| components\customButton                                                                             |          2 |         38 |          0 |         12 |         50 |
| components\weightSelectorComponent                                                                  |          2 |         49 |          0 |          6 |         55 |
| contents                                                                                            |          2 |        204 |          0 |         60 |        264 |
| screens                                                                                             |         28 |      1,206 |          0 |        150 |      1,356 |
| screens\ActivityScreen                                                                              |          2 |        131 |          0 |         10 |        141 |
| screens\CalorieScreen                                                                               |          2 |         23 |          0 |          4 |         27 |
| screens\EducativeScreen                                                                             |          2 |         27 |          0 |          6 |         33 |
| screens\FitnessScreen                                                                               |          2 |         23 |          0 |          4 |         27 |
| screens\GoalScreen                                                                                  |          2 |        103 |          0 |          9 |        112 |
| screens\GoalTimeScreen                                                                              |          2 |        109 |          0 |         12 |        121 |
| screens\HeightSelectorScreen                                                                        |          2 |         97 |          0 |         11 |        108 |
| screens\InformativeScreen                                                                           |          2 |         35 |          0 |          5 |         40 |
| screens\ProfileConfigurationScreen                                                                  |          2 |         94 |          0 |         14 |        108 |
| screens\ProfileCreationScreen                                                                       |          2 |         95 |          0 |         13 |        108 |
| screens\ProfileScreen                                                                               |          2 |        163 |          0 |         17 |        180 |
| screens\SignInScreen                                                                                |          2 |        101 |          0 |         18 |        119 |
| screens\SignUpScreen                                                                                |          2 |        108 |          0 |         16 |        124 |
| screens\WeightSelectorScreen                                                                        |          2 |         97 |          0 |         11 |        108 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                            | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\alinb\FitnessAndNutrition\App.tsx                                                          | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\alinb\FitnessAndNutrition\app.json                                                         | JSON               |         27 |          0 |          1 |         28 |
| c:\Users\alinb\FitnessAndNutrition\babel.config.js                                                  | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\alinb\FitnessAndNutrition\components\CustomInput\CustomInput.js                            | JavaScript         |         37 |          0 |          7 |         44 |
| c:\Users\alinb\FitnessAndNutrition\components\CustomInput\index.js                                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\components\DatePickerComponent\DatePickerComponent.js            | JavaScript         |         49 |          0 |          7 |         56 |
| c:\Users\alinb\FitnessAndNutrition\components\DatePickerComponent\index.js                          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\components\GenderButton\GenderButton.js                          | JavaScript         |         43 |          0 |          5 |         48 |
| c:\Users\alinb\FitnessAndNutrition\components\GenderButton\index.js                                 | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\components\HeightSelectorComponent\HeightSelectorComponent.js    | JavaScript         |         48 |          0 |          6 |         54 |
| c:\Users\alinb\FitnessAndNutrition\components\HeightSelectorComponent\index.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\components\InformativeComponent\InformativeComponent.js          | JavaScript         |         83 |          0 |          6 |         89 |
| c:\Users\alinb\FitnessAndNutrition\components\InformativeComponent\index.js                         | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\components\KnowledgeComponent\KnowledgeComponent.js              | JavaScript         |        115 |          0 |          7 |        122 |
| c:\Users\alinb\FitnessAndNutrition\components\KnowledgeComponent\index.js                           | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\NavigationBarComponent.js      | JavaScript         |         39 |          0 |          6 |         45 |
| c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\index.js                       | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\components\RoundImage\RoundImage.js                              | JavaScript         |         25 |          0 |          4 |         29 |
| c:\Users\alinb\FitnessAndNutrition\components\RoundImage\index.js                                   | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\components\customButton\customButton.js                          | JavaScript         |         37 |          0 |         11 |         48 |
| c:\Users\alinb\FitnessAndNutrition\components\customButton\index.js                                 | JavaScript         |          1 |          0 |          1 |          2 |
| c:\Users\alinb\FitnessAndNutrition\components\weightSelectorComponent\WeightSelectorComponent.js    | JavaScript         |         48 |          0 |          6 |         54 |
| c:\Users\alinb\FitnessAndNutrition\components\weightSelectorComponent\index.js                      | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\contents\EducativeContent.js                                     | JavaScript         |         59 |          0 |          3 |         62 |
| c:\Users\alinb\FitnessAndNutrition\contents\InformativeContent.js                                   | JavaScript         |        145 |          0 |         57 |        202 |
| c:\Users\alinb\FitnessAndNutrition\package-lock.json                                                | JSON               |     14,289 |          0 |          1 |     14,290 |
| c:\Users\alinb\FitnessAndNutrition\package.json                                                     | JSON               |         38 |          0 |          1 |         39 |
| c:\Users\alinb\FitnessAndNutrition\screens\ActivityScreen\ActivityScreen.js                         | JavaScript         |        130 |          0 |         10 |        140 |
| c:\Users\alinb\FitnessAndNutrition\screens\ActivityScreen\index.js                                  | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\alinb\FitnessAndNutrition\screens\CalorieScreen\CalorieScreen.js                           | JavaScript         |         22 |          0 |          4 |         26 |
| c:\Users\alinb\FitnessAndNutrition\screens\CalorieScreen\index.js                                   | JavaScript         |          1 |          0 |          0 |          1 |
