"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\alinb\FitnessAndNutrition\components\BarcodeScannerComponent\BarcodeScannerComponent.js", "JavaScript", 77, 0, 0, 7, 84
"c:\Users\alinb\FitnessAndNutrition\components\BarcodeScannerComponent\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\BodyPartComponent\bodypartComponent.js", "JavaScript", -3, 0, -1, 0, -4
"c:\Users\alinb\FitnessAndNutrition\components\DashboardComponent\DashboardComponent.js", "JavaScript", -5, 0, 0, 0, -5
"c:\Users\alinb\FitnessAndNutrition\components\ExerciseBodyPartComponent\ExerciseBodyPartComponent.js", "JavaScript", -16, 0, -1, -4, -21
"c:\Users\alinb\FitnessAndNutrition\components\FoodComponent\FoodComponent.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\MicronutrientsOverviewComponent\MicronutrientsOverviewComponent.js", "JavaScript", -60, 0, 0, -4, -64
"c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\NavigationBarComponent.js", "JavaScript", 6, 0, 0, 0, 6
"c:\Users\alinb\FitnessAndNutrition\components\WaterIntakeComponent\WaterIntakeComponent.js", "JavaScript", -1, 0, 0, 0, -1
"c:\Users\alinb\FitnessAndNutrition\package-lock.json", "JSON", 0, 32, 0, 0, 32
"c:\Users\alinb\FitnessAndNutrition\package.json", "JSON", 0, 2, 0, 0, 2
"c:\Users\alinb\FitnessAndNutrition\screens\CalorieScreen\CalorieScreen.js", "JavaScript", 72, 0, 0, 3, 75
"c:\Users\alinb\FitnessAndNutrition\screens\ChatbotScreen\ChatbotScreen.js", "JavaScript", 254, 0, 0, 12, 266
"c:\Users\alinb\FitnessAndNutrition\screens\ChatbotScreen\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\FoodScreen\FoodScreen.js", "JavaScript", 103, 0, 0, 9, 112
"c:\Users\alinb\FitnessAndNutrition\screens\InDepthExerciseScreen\InDepthExerciseScreen.js", "JavaScript", 0, 0, -1, -2, -3
"c:\Users\alinb\FitnessAndNutrition\screens\MapScreen\MapScreen.js", "JavaScript", -23, 0, 0, -5, -28
"c:\Users\alinb\FitnessAndNutrition\services\apiExerciseServices.js", "JavaScript", 53, 0, 1, 11, 65
"c:\Users\alinb\FitnessAndNutrition\services\apiFoodServices.js", "JavaScript", 81, 0, -2, 13, 92
"c:\Users\alinb\FitnessAndNutrition\services\apiMapServices.js", "JavaScript", 29, 0, 0, 4, 33
"Total", "-", 570, 34, -4, 44, 644
